gap_id,dataset,desired_use,severity,organizations_searched,what_was_found,why_unavailable,best_proxy_used,coverage_achieved,limitations,recommended_next_action
1,Traffic volumes on CNV municipal streets,Measured vehicle exposure per intersection,High,"BC MoTI Traffic Data Program; CNV; DNV GEOweb; TransLink; Metro Vancouver; BC Data Catalogue","BC program covers provincial highways only; 10 CNV stations all Short Core on Hwy 1 with latest counts 2016; CNV publishes directional volumes for only 38 of 941 segments","Province does not count municipal streets; CNV holds counts internally and releases on request",Road classification (70%) plus sparse published volumes (30%),40 of 503 intersections have a measured volume,traffic_score is primarily a road-hierarchy ranking not a measured traffic ranking,Request turning-movement counts from transportation@cnv.org
2,Traffic signal cycle and phase timing,Estimating wait/dwell time,High,"CNV engineering and transportation pages; CNV ArcGIS; council reports","Signals GIS layer is asset inventory only; CNV Level 1 Transportation Study Guidelines p.6 states phasing and cycle lengths are provided by the City on request",Held internally and released on request; never published,None - no timing estimated,0% (signal_timing_status=REQUEST_REQUIRED),No claim about wait time or longest light is supportable,Request from eng@cnv.org or measure in field
3,Pedestrian counts at intersections,Measured pedestrian activity,High,"CNV transportation planning; Walk CNV; council reports; TransLink; Metro Vancouver","Walk CNV 2017 is a perception survey with no counts; only published count is Moodyville 2016 Fig 43 (2015 data raster in PDF one corridor); North Shore Transportation Survey is city-wide modelled only",No permanent pedestrian counter programme,Documented composite pedestrian_proxy_score,0% measured,Proxy is never presented as a count; counts and proxies held in separate fields,Manual counts using field_audit_checklist.csv
4,Polling / voting division boundaries,Mapping results to sub-municipal geography,Structural,"CNV; CivicInfo BC; Elections BC; CNV election bylaws","Nothing found; CNV runs any-voting-place elections so no catchments exist",Structurally absent from CNV electoral model,Voting-place points plus 400/800/1600 m context buffers,n/a,Votes at a place cannot be attributed to nearby residents,None - documented as structurally unavailable
5,Ballots cast per voting place 2022,Turnout by location,Medium,CNV election records,"2011/2014/2018 sheets have a TOTAL VOTERS row; the 2022 sheet does not",Not published for 2022,Mayoral votes per place as a lower bound,9 of 9 general voting places,"41325 x 22.64% is arithmetic not official; unverifiable third-party figure not used",Request from the CNV Chief Election Officer
6,Eligible electors by small geography,Sub-municipal electorate size,Medium,CNV; Elections BC,City-wide registered electors only (41325 in 2022),Not published below municipality; privacy sensitive,adult_population_18plus_proxy and canadian_citizens_18plus,City-wide,"Neither is an elector count; term eligible voters is never used and is blocked by a test",None
7,Real-time parking availability,Live occupancy,Low,CNV; CNV ArcGIS,"Observed survey only: 1169 segments across 8 periods by Bunt & Associates Dec 2022 and Jan/Feb 2023",No live feed exists,The survey itself with survey_period recorded,1169 segments,Reflects the survey window only; never presented as live,None
8,Building height unit counts and year built,Building-level housing analysis,High,CNV ArcGIS; DNV GEOweb,"Footprint layer carries only status and name; only the High Rise >18m layer carries height/units/year (107 records)",City does not publish attributes for general footprints,Census dwelling structure type at DA level,"height 109/11833 (0.9%); units 88 (0.7%); year 109 (0.9%)",UNKNOWN means nothing is published - not that a building is non-residential,Request the building attribute table from CNV
9,Condominium / strata tenure,Tenure analysis,Medium,CNV ArcGIS,"Occupancy attribute explicitly contains STRATA for some buildings",Only published for the high-rise layer,City STRATA attribute only - never inferred from form,High-rise layer only,Tenure elsewhere recorded as unknown not assumed,Request strata records from BC Assessment
10,Licensed seniors care facilities in CNV,Seniors residence mapping,High,"VCH; BC Housing; Office of the Seniors Advocate; BC Data Catalogue; CNV","Provincial registries show zero licensed LTC/AL inside the City; Evergreen House (231 E 15th St 284 beds) IS in the City but is licensed under the Hospital Act so is absent from both registries",Registry scope excludes Hospital Act facilities,11 seniors-eligible affordable-housing sites from City 55+ eligibility,11 sites,"Subsidised independent housing is not licensed care; Sunrise at Lonsdale Square and Summerhill PARC unresolved",Confirm Evergreen House and Sunrise with Vancouver Coastal Health
11,ICBC collision geography,Collisions per intersection,Medium,ICBC; BC Data Catalogue,"Tableau CSV export gives location name strings with no coordinates; NORTH VANCOUVER covers both City and District",ICBC publishes no coordinates and no bulk open-data file,Conservative street-pair name matching against the CNV intersection layer,"288 of 503 intersections (57%); 5296 crashes","Unmatched intersections are unknown not zero; counts are not year-specific",Request georeferenced records from ICBC
12,Municipal land area vs legal boundary,Density denominators,Resolved,BC ABMS; Statistics Canada,"ABMS legal boundary is 14.92 km2 including foreshore; StatCan land area is 11.83 km2",n/a,StatCan land area used for all densities,100%,Legal boundary used only for clipping and display,None
13,Road classification polygons,Supplementary road classes,Low,CNV ArcGIS,"11 of 518 features cannot be serialised by the endpoint (HTTP 400)",Server-side geometry corruption,Centreline ROADCLASS which is complete,507 of 518,Supplementary layer only,Report the corrupt OBJECTIDs to CNV GIS
